,movie_comment,movie_id,movie_score,movie_time
298,我是法盲没关系,11510624,3,2014-09-30
299,胖球粉+汤浅政明粉の盛宴,25813424,5,2014-09-28
300,原书设定了精细的世界观，动画用体育老师教的逻辑毁了,7051357,3,2014-09-28
301,真是想不到以前那个满脸雀斑骨骼清奇的小哥还能有一天提名奥斯卡啊。。。,1858064,3,2014-09-27
302,,1771061,4,2014-09-26
303,,4904026,3,2014-09-26
304,比塘主爽妹的无极限还要可怕惹。。。,20284939,1,2014-09-26
305,编不下去了就雷劈死你哟~,5996407,3,2014-09-26
306,还记得三年前在电影院就我一个人看超哥边炒菜边唱爱情买卖;),5366708,4,2014-09-15
307,对得起票价吧，反正是学生票,4913200,3,2014-09-15
308,颜即正义,20391427,4,2014-09-15
309,只能说我完全没看出导演是Danny Boyle。。。,2209573,4,2014-09-15
310,就像突然有了软肋，又有了铠甲,1308857,5,2014-09-15
311,减肥失败的男主自带主角复活技能虐遍NPC...话说谁才是男主，如果是Shia，我忘记他干过啥了...,3025809,3,2014-09-12
312,三星全给马修啦~\(≧▽≦)/~,2996790,3,2014-09-12
313,保持了和传主同样风格的幽默感；Martin Landau的表演对得起小金人；原来马脸姐年轻时脸已经很长了；Depp神似周星驰分分钟出戏╮(╯▽╰)╭,1293683,3,2014-09-12
314,基本看不清脸啊，华谊你对得起这么多大牌么,1907464,4,2014-09-09
315,为了男神去三刷，感觉自己萌萌哒~,11529526,5,2014-09-09
316,,1985959,3,2014-09-09
317,,1309210,4,2014-09-09
318,,1949971,4,2014-09-09
319,"- Shouldn't be afraid to dream a little bigger, Arthur
只是我的OTP永远只有八分钟。。。",3541415,5,2014-09-09
320,廖凡太招苏,3629206,5,2014-09-09
321,,3742360,4,2014-09-09
322,去过很多次Castro，依然不喜欢这部片子,2336737,3,2014-09-09
323,拿奖了毕业了再见了,5279665,4,2014-09-09
324,我觉得已经要看不下去了TAT,10733232,3,2014-09-09
325,,3328794,4,2014-09-09
326,码农甄嬛传→码农版奋斗,20644938,5,2014-09-09
327,"""God is at the bottom of the sea and I dive to find him."" -- Enzo Maiorca",1300960,5,2014-09-09
328,婊子配狗，天长地久；反町隆史和刘德华都是狗啦汪汪汪,1296169,2,2014-09-09
329,班德拉斯是猴子派来的逗比么,11610281,3,2014-09-09
330,,5153018,5,2014-09-01
331,大家也都蛮拼的啦,3412830,4,2014-09-01
332,看到赵又廷就烦,4154669,3,2014-09-01
333,蠢出风格,1305735,2,2014-09-01
334,猩猩的智商时隐时现啊,7046723,4,2014-08-30
335,,1307690,5,2014-08-30
336,看完变塘主粉惹，面瘫罗成也不错嘛╮(╯▽╰)╭,7062604,4,2014-08-28
337,让无神论者看这种讲宗教自杀的片子就是折磨，而且全是戈壁看起来丑爆了。。。,1296177,3,2014-08-27
338,架构大时代背景讲述小格局故事，不仅是王家卫擅长的，也是他唯一能做的,3821067,4,2014-08-08
339,小说改电影真不是一回事，拍出来感觉还不如男神写的晋江耽美文呢呵呵,2132473,3,2014-08-03
340,绝壁是最@#$%^&*的吸血鬼和狼人啦啦啦,3570639,4,2014-08-03
341,导演的逻辑老师已哭晕在影院；本来这电影看脸能值三星，价值导向太恶心倒扣一星,10807916,2,2014-08-03
